"","id_order","sku","name_en"
"1",298391,"APP0656","IMac AppleCare Protection Plan"
"2",298161,"APP0660","AppleCare Protection MacBook Pro 15"
"3",300916,"APP1014","IPad AppleCare Protection Plan"
"4",301173,"APP1184","IPhone AppleCare Protection Plan"
"5",301322,"APP1184","IPhone AppleCare Protection Plan"
"6",301504,"APP1184","IPhone AppleCare Protection Plan"
"7",301695,"APP1184","IPhone AppleCare Protection Plan"
"8",301738,"APP1014","IPad AppleCare Protection Plan"
"9",303260,"APP0660","AppleCare Protection MacBook Pro 15"
"10",303339,"APP1184","IPhone AppleCare Protection Plan"
"11",303486,"APP1014","IPad AppleCare Protection Plan"
"12",303748,"APP1184","IPhone AppleCare Protection Plan"
"13",303769,"APP0661","AppleCare Protection for Apple TV"
"14",303864,"APP1184","IPhone AppleCare Protection Plan"
"15",303885,"APP0657","AppleCare Protection Plan MacBook / Air / Pro 13 "
"16",304010,"APP1184","IPhone AppleCare Protection Plan"
"17",304108,"APP1184","IPhone AppleCare Protection Plan"
"18",304447,"APP1184","IPhone AppleCare Protection Plan"
"19",304464,"APP1184","IPhone AppleCare Protection Plan"
"20",305242,"APP1184","IPhone AppleCare Protection Plan"
"21",305341,"APP0660","AppleCare Protection MacBook Pro 15"
"22",305549,"APP0660","AppleCare Protection MacBook Pro 15"
"23",305602,"APP0660","AppleCare Protection MacBook Pro 15"
"24",305602,"APP1184","IPhone AppleCare Protection Plan"
"25",305640,"APP1184","IPhone AppleCare Protection Plan"
"26",306043,"APP1184","IPhone AppleCare Protection Plan"
"27",306126,"APP1184","IPhone AppleCare Protection Plan"
"28",306381,"APP1184","IPhone AppleCare Protection Plan"
"29",306859,"APP0656","IMac AppleCare Protection Plan"
"30",306885,"APP1184","IPhone AppleCare Protection Plan"
"31",307424,"APP1184","IPhone AppleCare Protection Plan"
"32",307774,"APP1184","IPhone AppleCare Protection Plan"
"33",307846,"APP1184","IPhone AppleCare Protection Plan"
"34",307846,"APP0659","AppleCare Protection Plan Mac mini"
"35",307850,"APP1184","IPhone AppleCare Protection Plan"
"36",308112,"APP1014","IPad AppleCare Protection Plan"
"37",308141,"APP1184","IPhone AppleCare Protection Plan"
"38",308338,"APP1184","IPhone AppleCare Protection Plan"
"39",308511,"APP0656","IMac AppleCare Protection Plan"
"40",308549,"APP1184","IPhone AppleCare Protection Plan"
"41",309049,"APP1184","IPhone AppleCare Protection Plan"
"42",309071,"APP1184","IPhone AppleCare Protection Plan"
"43",309173,"APP1184","IPhone AppleCare Protection Plan"
"44",309239,"APP1184","IPhone AppleCare Protection Plan"
"45",309277,"APP1184","IPhone AppleCare Protection Plan"
"46",309277,"APP1014","IPad AppleCare Protection Plan"
"47",309360,"APP0660","AppleCare Protection MacBook Pro 15"
"48",309553,"APP1184","IPhone AppleCare Protection Plan"
"49",309582,"APP1184","IPhone AppleCare Protection Plan"
"50",309866,"APP1184","IPhone AppleCare Protection Plan"
"51",310095,"APP1184","IPhone AppleCare Protection Plan"
"52",310298,"APP1184","IPhone AppleCare Protection Plan"
"53",310298,"APP1014","IPad AppleCare Protection Plan"
"54",310341,"APP0657","AppleCare Protection Plan MacBook / Air / Pro 13 "
"55",310791,"APP1184","IPhone AppleCare Protection Plan"
"56",310811,"APP1184","IPhone AppleCare Protection Plan"
"57",310927,"APP1184","IPhone AppleCare Protection Plan"
"58",311231,"APP1184","IPhone AppleCare Protection Plan"
"59",311238,"APP1184","IPhone AppleCare Protection Plan"
"60",311265,"APP1184","IPhone AppleCare Protection Plan"
"61",311297,"APP1184","IPhone AppleCare Protection Plan"
"62",311367,"APP1184","IPhone AppleCare Protection Plan"
"63",311374,"APP1184","IPhone AppleCare Protection Plan"
"64",307930,"APP1184","IPhone AppleCare Protection Plan"
"65",312156,"APP0656","IMac AppleCare Protection Plan"
"66",312239,"APP1184","IPhone AppleCare Protection Plan"
"67",312424,"APP1184","IPhone AppleCare Protection Plan"
"68",312902,"APP1184","IPhone AppleCare Protection Plan"
"69",313056,"APP1184","IPhone AppleCare Protection Plan"
"70",313168,"APP0657","AppleCare Protection Plan MacBook / Air / Pro 13 "
"71",313207,"APP0656","IMac AppleCare Protection Plan"
"72",313284,"APP1184","IPhone AppleCare Protection Plan"
"73",313401,"APP1184","IPhone AppleCare Protection Plan"
"74",313405,"APP1184","IPhone AppleCare Protection Plan"
"75",313412,"APP1184","IPhone AppleCare Protection Plan"
"76",313426,"APP1184","IPhone AppleCare Protection Plan"
"77",313446,"APP1184","IPhone AppleCare Protection Plan"
"78",313651,"APP1184","IPhone AppleCare Protection Plan"
"79",313761,"APP1014","IPad AppleCare Protection Plan"
"80",296036,"APP1184","IPhone AppleCare Protection Plan"
"81",313989,"APP1184","IPhone AppleCare Protection Plan"
"82",314040,"APP0657","AppleCare Protection Plan MacBook / Air / Pro 13 "
"83",314049,"APP0659","AppleCare Protection Plan Mac mini"
"84",314355,"APP1184","IPhone AppleCare Protection Plan"
"85",314641,"APP1184","IPhone AppleCare Protection Plan"
"86",314648,"APP1184","IPhone AppleCare Protection Plan"
"87",314899,"APP1184","IPhone AppleCare Protection Plan"
"88",315349,"APP0656","IMac AppleCare Protection Plan"
"89",316491,"APP1184","IPhone AppleCare Protection Plan"
"90",316655,"APP1184","IPhone AppleCare Protection Plan"
"91",316814,"APP1184","IPhone AppleCare Protection Plan"
"92",316821,"APP1184","IPhone AppleCare Protection Plan"
"93",317099,"APP1184","IPhone AppleCare Protection Plan"
"94",317125,"APP1184","IPhone AppleCare Protection Plan"
"95",317325,"APP1184","IPhone AppleCare Protection Plan"
"96",317339,"APP1184","IPhone AppleCare Protection Plan"
"97",318081,"APP1184","IPhone AppleCare Protection Plan"
"98",318144,"APP1184","IPhone AppleCare Protection Plan"
"99",318347,"APP0656","IMac AppleCare Protection Plan"
"100",318487,"APP1014","IPad AppleCare Protection Plan"
"101",318490,"APP1184","IPhone AppleCare Protection Plan"
"102",318494,"APP0660","AppleCare Protection MacBook Pro 15"
"103",318522,"APP1184","IPhone AppleCare Protection Plan"
"104",319111,"APP1184","IPhone AppleCare Protection Plan"
"105",319122,"APP1184","IPhone AppleCare Protection Plan"
"106",320724,"APP1184","IPhone AppleCare Protection Plan"
"107",321525,"APP1184","IPhone AppleCare Protection Plan"
"108",321851,"APP0656","IMac AppleCare Protection Plan"
"109",321942,"APP0657","AppleCare Protection Plan MacBook / Air / Pro 13 "
"110",321967,"APP0656","IMac AppleCare Protection Plan"
"111",321983,"APP1184","IPhone AppleCare Protection Plan"
